Use case,Actor action,System response,
회원가입,1. 사용자가 '회원가입' 버튼을 클릭한다.,"2. 회원가입 양식(ID, 비밀번호, 전화번호, 결제 수단, 선호 자전거 유형 등)을 표시한다.", 
회원가입,3. 사용자가 필수 정보를 입력한 뒤 '회원가입' 버튼을 누른다.,4. 입력 정보를 수집하고 유효성 검사를 시행한다.,
회원가입,4a. 유효성 검사에 실패할 경우,5. 모든 정보가 유효하면 계정을 생성하고 회원가입 완료 메시지를 표시한 뒤 로그인 화면으로 이동한다. 오류 메시지를 표시하고 재입력을 요청한다.,
회원탈퇴,1. 회원이 로그인 상태에서 '회원탈퇴' 버튼을 누른다.,2. 탈퇴 확인 메시지를 표시한다.,
회원탈퇴,3. 회원이 탈퇴 확인 버튼을 누른다.,4. 회원의 계정 및 관련 데이터를 모두 삭제하고 로그아웃 처리한다.,
회원탈퇴,,5. 탈퇴 완료 메시지를 표시한 뒤 메인 화면으로 이동한다.,
로그인,1. 사용자(회원 또는 관리자)가 로그인 화면에서 ID와 비밀번호를 입력한 뒤 '로그인' 버튼을 누른다.,2. ID/PW를 검증한다.,
로그인,,3. 검증 성공 시 사용자 계정으로 로그인하고 초기 화면으로 이동한다.,
로그아웃,1. 회원이 로그인 상태에서 '로그아웃' 버튼을 누른다.,2. 세션을 종료하고 로그인 화면으로 이동한다.,
대여소 등록,1. 관리자가 '대여소 등록' 버튼을 누른다.,"2. 대여소 등록 양식(이름, 위치, 보관 수량, 운영 시간 등)을 표시한다.",
대여소 등록,3. 관리자가 필수 정보를 입력한 뒤 '등록' 버튼을 누른다.,4. 입력 정보를 수집하고 유효성 검사를 시행한다.,
대여소 등록,,5. 모든 정보가 유효하면 대여소를 등록하고 등록 완료 메시지를 표시한 뒤 대여소 리스트 화면으로 이동한다.,
대여소 리스트 보기,1. None ,2. 등록된 대여소 리스트를 표시한다.,
대여소 리스트 보기,3. (선택) 관리자가 특정 대여소를 선택한다.,4. 관리자가 선택한 대여소의 상세정보를 표시한다.,
대여소 리스트 보기,5. (선택) 삭제 버튼을 누른다.,6. 삭제 확인 메시지를 표시한다.,
대여소 리스트 보기,7. 삭제 확인 버튼을 누른다.,8. 대여소 정보를 삭제하고 리스트를 갱신한다.,
자전거 등록,1. '자전거 등록' 메뉴를 선택한다.,2. 자전거 등록 양식을 화면에 표시한다.,
자전거 등록,"3. 자전거 ID, 제품명, 유형, 소속 대여소, 상태를 입력한다.",4. 입력값 유효성 검사를 수행한다.,
자전거 등록,5. '등록' 버튼을 클릭한다.,6. 자전거 정보가 저장되고 등록 완료 메시지를 표시한다.,
자전거 리스트 보기,1. '자전거 리스트 보기' 메뉴를 선택한다.,2. 등록된 자전거 목록을 화면에 표시한다.,
자전거 리스트 보기,3. (선택)특정 자전거 항목을 선택한다.,4. 해당 자전거의 상세 정보를 표시한다.,
자전거 리스트 보기,5. (선택) 삭제 버튼을 클릭한다.,6.삭제 확인 메세지를 표시한다.,
자전거 리스트 보기,7.삭제 확인 버튼을 누른다.,8.자전거 정보를 삭제하고 리스트를 갱신한다.,
대여소 검색,2. 대여소 이름을 입력한다.,1. 검색 입력창을 표시한다.,
대여소 검색,,3. 조건에 맞는 대여소 리스트를 출력한다.,
대여소 상세정보 조회,1. 대여소 리스트에서 특정 대여소를 선택한다.,"2. 대여소 이름, 위치, 사용 가능 자전거 목록을 표시한다.",
대여소 상세정보 조회,3. (선택)사용 가능한 자전거가 있을 경우 '대여' 버튼을 클릭한다.,4. 자전거 대여 성공 메시지를 출력한다.,
대여소 상세정보 조회,5. (선택) 자전거가 없을 경우 '예약대기' 버튼을 클릭한다.,6. 예약대기 접수 완료 메시지를 출력한다.,
